word,label,label_Liu,label_SentiWords,label_AFINN,label_WordStat,label_sentiwordnet
,,,,,,
0,,,-0.17044,,,
007,1.0,,,,,
1,,,-0.099105,,,
10,1.0,,,,,
101,,,-0.19821,,,
105,,,-0.19821,,,
123,1.0,,,,,
125,,,-0.07997,,,
135,,,-0.07997,,,
145,,,-0.07997,,,
14th,,-1.0,,,,
14th,,1.0,,,,
155,,,-0.07997,,,
165,,,-0.07997,,,
175,,,-0.07997,,,
1987,1.0,,,,,
1991,1.0,,,,,
20th,1.0,,,,,
300,,,-0.19821,,,
3000,1.0,,,,,
3tc,,,-0.19821,,,
400,,,-0.19821,,,
98,1.0,,,,,
a,,-1.0,0.041280000000000004,,,
a,,1.0,0.041280000000000004,,,
aaa,,,0.0403,,,
aback,,,0.013009999999999999,,,
abandon,-1.0,,-0.52051,-2.0,,-0.125
abandoned,-1.0,,-0.05247,-2.0,,0.5
abandonment,-1.0,,-0.5413899999999999,,,-0.5
abandons,,,,-2.0,,
abase,-2.0,,-0.38925,,-1.0,
abased,,,,,-1.0,
abasement,-2.0,,-0.12025999999999999,,,
abases,,,,,-1.0,
abash,-2.0,,-0.19821,,,
abashed,,,-0.28345,,,
abashment,,,-0.25931,,,
abasia,,,-0.33433,,,-0.5
abasic,,,-0.17327,,,
abatable,,,0.28394,,,0.625
abate,-1.0,,-0.06819,,-1.0,
abated,,,,,-1.0,
abatement,,,-0.0296,,,
abates,,,,,-1.0,
abatic,,,-0.17327,,,-0.25
abattoir,,,,,-1.0,
abattoirs,,,,,-1.0,
abaxially,,,0.15793,,,0.25
abbe,,,0.12208,,,0.125
abbot,,,0.21734,,,
abdias,,,-0.08847000000000001,,,
abdicable,,,0.15199000000000001,,,0.375
abdicate,-1.0,,,,-1.0,
abdicated,,,,,-1.0,
abdicates,,,,,-1.0,
abdicating,,,,,-1.0,
abduct,,,-0.61495,,-1.0,
abducted,,,,-2.0,-1.0,
abducting,,,,,-1.0,
abduction,,,-0.77036,-2.0,,-0.5
abductions,,,,-2.0,,
abducts,,,,,-1.0,
aberrance,,,0.12208,,,
aberrancy,,,0.12208,,,
aberrant,,,0.07599500000000001,,,
aberrate,,,-0.08847000000000001,,,-0.125
aberration,-2.0,,0.21871,,,-0.25
abetalipoproteinemia,,,-0.42036,,,-0.75
abeyant,,,-0.05621,,,
abhor,-2.0,,-0.19821,-3.0,,
